 	Label	slice	Saturated	JD_SOBS	JD_UTC	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	Source-Sky_T1	N_Src_Pixels_T1	Source_AMag_T1	Peak_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	Source-Sky_C2	Source_AMag_C2	Peak_C2	FWHM_C2	Width_C2
26		26.000000	0.000000	2458913.614349	2458913.615043	2458913.615547	NaN	-1.000000	-6.810263	-1.802962	120.000000	5.200475	33.966756	28.853772	0.893771	0.000000	0.002446	0.000000	3437789.976227	1252.479673	11.621934	25132.000000	6509.000000	15.032953	14.976296	3846386.621894	11.500000	28452.000000	14.283352	14.192331
27		27.000000	0.000000	2458913.617838	2458913.618532	2458913.619036	NaN	-1.000000	-6.369591	-1.802962	120.000000	5.200441	33.966789	28.115584	0.938977	0.000000	0.002240	0.000000	3596384.771781	962.487518	11.568363	31196.000000	6403.000000	13.956041	13.937960	3830111.504249	11.500000	35654.000000	13.421355	13.538746
28		28.000000	0.000000	2458913.621327	2458913.622021	2458913.622525	NaN	-1.000000	-5.915640	-1.802962	120.000000	5.200407	33.966814	27.494853	0.959409	0.000000	0.002174	0.000000	3649492.696306	856.395739	11.544991	32589.000000	6430.000000	13.711483	13.654641	3803897.250773	11.500000	37545.000000	13.162639	13.298048
29		29.000000	0.000000	2458913.624814	2458913.625508	2458913.626011	NaN	-1.000000	-5.448799	-1.802962	120.000000	5.200372	33.966828	27.014523	0.989184	0.000000	0.002344	0.000000	3736344.335280	963.147438	11.511807	32148.000000	6478.000000	13.509593	13.484300	3777196.849465	11.500000	35242.000000	13.024600	13.094468
30		30.000000	0.000000	2458913.628302	2458913.628996	2458913.629499	NaN	-1.000000	-4.969005	-1.881263	120.000000	5.200336	33.966828	26.898389	1.031043	0.000000	0.002427	0.000000	3860922.146098	963.061920	11.466808	31913.000000	6342.000000	13.455665	13.425413	3744675.726229	11.500000	32385.000000	13.326589	13.259542
31		31.000000	0.000000	2458913.631788	2458913.632483	2458913.632985	NaN	-1.000000	-4.476696	-1.802962	120.000000	5.200300	33.966817	26.269240	1.086860	0.000000	0.002409	0.000000	4025832.360391	853.384178	11.409566	36196.000000	6362.000000	12.950262	12.965773	3704094.507480	11.500000	37261.000000	12.689831	12.717727
32		32.000000	0.000000	2458913.635277	2458913.635972	2458913.636474	NaN	-1.000000	-3.971633	-1.802962	120.000000	5.200264	33.966794	26.132541	1.145039	0.000000	0.002612	0.000000	4258464.408468	965.074537	11.352950	36311.000000	6451.000000	13.137878	13.120944	3719057.815245	11.500000	33097.000000	12.857965	12.805030
33		33.000000	0.000000	2458913.638767	2458913.639461	2458913.639963	NaN	-1.000000	-3.454318	-1.881263	120.000000	5.200226	33.966758	26.858773	1.193124	0.000000	0.002717	0.000000	4382916.751065	962.610001	11.308286	34015.000000	6384.000000	13.997489	13.973055	3673479.047413	11.500000	31347.000000	13.587515	13.606164
34		34.000000	0.000000	2458913.642254	2458913.642949	2458913.643450	NaN	-1.000000	-2.925345	-1.802962	120.000000	5.200188	33.966708	26.333767	1.231463	0.000000	0.002652	0.000000	4511517.194704	856.671538	11.273946	39681.000000	6537.000000	13.004972	12.978815	3663541.574117	11.500000	36065.000000	12.803791	12.931936
35		35.000000	0.000000	2458913.645742	2458913.646436	2458913.646937	NaN	-1.000000	-2.384625	-1.802962	120.000000	5.200150	33.966644	25.914398	1.245116	0.000000	0.002681	0.000000	4563958.975820	856.419327	11.261975	40265.000000	6395.000000	12.853548	12.838658	3665487.710582	11.500000	35258.000000	12.641480	12.765051
