_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
092.233263900	+24.419692000	573-025054	092.2332639	+24.4196920	142	15.535	0	0	-5.9	44.2	14.548	13.799					0	0	0	0	0	0	0	1	0
092.234817400	+24.472298100	573-025057	092.2348174	+24.4722981	33	12.169	0	0	0.1	-4.4	11.578	11.456	12.494	12.166	12.177	12.567	3	1	0	1	1	0	0	1	0
092.235066500	+24.452915900	573-025058	092.2350665	+24.4529159	149	15.058	5	35			13.842	13.310					0	0	0	0	0	0	0	0	0
092.235438900	+24.454140000	573-025060	092.2354389	+24.4541400	124	14.686	0	35	-2.1	9.6	13.515	13.100					0	0	0	0	8	0	0	8	0
092.239593300	+24.432261200	573-025063	092.2395933	+24.4322612	80	15.246	0	0	13.5	-3.8	14.627	14.208	16.551	15.989	15.763		0	0	0	0	0	0	0	1	0
092.240069800	+24.427143100	573-025065	092.2400698	+24.4271431	152	15.462	0	0	4.3	-2.4	14.496	13.953					0	0	0	0	0	0	0	1	0
092.241270300	+24.416498700	573-025067	092.2412703	+24.4164987	108	15.641	0	0	2.9	11.7	14.743	14.302					0	0	0	0	0	0	0	1	0
092.242190300	+24.449915300	573-025069	092.2421903	+24.4499153	38	14.462	0	0	-2.5	-0.6	11.863	10.884					0	0	0	0	0	0	0	1	0
092.244527700	+24.461474200	573-025073	092.2445277	+24.4614742	33	13.727	0	0	-6.0	-2.9	12.722	12.430	14.593	13.933	13.816	14.037	0	0	0	0	1	0	0	1	0
092.245744500	+24.446005900	573-025075	092.2457445	+24.4460059	69	15.207	0	0	4.0	1.6	13.846	13.472					0	0	0	0	0	0	0	1	0
092.247938000	+24.436029200	573-025081	092.2479380	+24.4360292	50	14.793	0	0	-6.5	-11.8	13.824	13.592	15.242	14.747	14.625	14.545	0	0	0	0	0	0	0	1	0
092.251992400	+24.404100600	573-025086	092.2519924	+24.4041006	39	11.676	0	0	0.8	-4.7	11.161	11.098	11.863	11.613	11.658	12.269	3	7	0	7	7	0	0	7	0
092.253913300	+24.401766400	573-025089	092.2539133	+24.4017664	212	16.204	5	0									0	0	0	0	0	0	0	0	0
092.256873900	+24.450508100	573-025092	092.2568739	+24.4505081	273	16.136	0	0	2.1	-6.7	15.042	14.548					0	0	0	0	0	0	0	1	0
092.259851800	+24.441765600	573-025097	092.2598518	+24.4417656	135	15.740	0	0	0.6	-3.3	14.864	14.504	16.595	15.893	15.842		0	0	0	0	0	0	0	1	0
092.261656800	+24.436629500	573-025098	092.2616568	+24.4366295	110	15.417	0	0	5.3	-5.0	14.602	14.053					0	0	0	0	0	0	0	1	0
092.267786800	+24.448373400	573-025104	092.2677868	+24.4483734	29	13.358	0	0	-8.7	-7.9	12.381	12.066	14.167	13.543	13.395	13.673	0	0	0	0	1	0	0	1	0
092.269266800	+24.419992800	573-025105	092.2692668	+24.4199928	27	13.746	0	0	-5.7	-1.9	12.847	12.617	14.264	13.785	13.715	14.124	0	0	0	0	1	0	0	1	0
092.271505000	+24.424543100	573-025108	092.2715050	+24.4245431	120	15.299	5	0			13.236	12.370					0	0	0	0	0	0	0	0	0
092.272189200	+24.426476400	573-025110	092.2721892	+24.4264764	46	13.271	0	0	-1.6	-5.7	12.315	12.015	14.005	13.385	13.211	13.555	0	0	0	0	1	0	0	1	0
